product_id,product_name,brand,category,concern,skin_type,key_ingredient,size,mrp,cost_price,stock_qty,launch_date
P0201,Renew Niacinamide Gel,Pure Mesa,Serums,Brightening,Normal,Niacinamide,50 ml,66.64,29.09,504,2024-09-22
P0202,Glow Zinc Complex,Velvet Aloe,Sunscreens,Daily SPF,Dry,Niacinamide,50 ml,40.27,14.09,403,2024-08-29
P0203,Pure Bakuchiol Repair,Golden State Skin,Anti-Aging Products,Firmness,Sensitive,CoQ10,30 ml,78.96,38.99,763,2025-03-17
P0204,Radiant Ceramides Ritual,Sunlit Science,Moisturizers,Redness,All,Peptides,50 ml,35.72,14.83,1285,2021-07-21
P0205,Pure Niacinamide Essence,Pacific Ritual,Serums,Dark spots,Combination,Copper Peptides,50 ml,51.76,26.55,2441,2025-09-17
P0206,Fresh Squalane Veil,Terra Dew,Moisturizers,Barrier repair,Normal,Peptides,75 ml,35.15,19.41,1169,2023-01-02
P0207,Cloud Hyaluronic Complex,Pure Mesa,Moisturizers,Dryness,All,Hyaluronic Acid,50 ml,59.51,27.64,996,2024-10-15
P0208,Hydra Hyaluronic Gel,DermaBloom,Serums,Brightening,Dry,Vitamin C,30 ml,60.53,23.44,567,2023-09-25
P0209,Hydra Hyaluronic Ritual,Halo Harbor,Moisturizers,Dryness,Oily,Shea Butter,50 ml,57.39,23.98,846,2024-04-14
P0210,Glow CoQ10 Complex,Juniper Lab,Anti-Aging Products,Elasticity,Sensitive,Peptides,30 ml,115.68,58.44,307,2021-05-19
P0211,Dew Peptides Ritual,Luma Leaf,Anti-Aging Products,Firmness,Sensitive,CoQ10,30 ml,129.14,49.51,1182,2022-02-21
P0212,Fresh Kaolin Shield,Halo Harbor,Face Masks,Glow,All,Honey,100 ml,27.35,13.98,623,2022-05-09
P0213,Radiant Centella Gel,Terra Dew,Toners,Pore care,Combination,PHA,200 ml,20.72,10.76,284,2021-04-16
P0214,Fresh PHA Elixir,DermaBloom,Toners,Pore care,Normal,Rose Water,150 ml,25.49,13.08,913,2024-02-22
P0215,Glow Peptides Mist,Luma Leaf,Moisturizers,Barrier repair,Combination,Hyaluronic Acid,100 ml,22.05,10.84,583,2021-04-30
P0216,Clear CoQ10 Mist,Velvet Aloe,Anti-Aging Products,Elasticity,Dry,Retinol,30 ml,136.11,76.18,698,2024-01-07
P0217,Renew Vitamin Essence,Juniper Lab,Serums,Hydration,Combination,Niacinamide,50 ml,115.75,46.84,163,2025-01-28
P0218,Cloud Vitamin Gel,DermaBloom,Serums,Dullness,Oily,Alpha Arbutin,30 ml,77.77,35.40,286,2023-04-04
P0219,Calm Titanium Essence,Pure Mesa,Sunscreens,Daily SPF,Normal,Zinc Oxide,50 ml,20.37,10.86,767,2025-02-12
P0220,Fresh Centella Drops,Sunlit Science,Face Masks,Hydration,All,Kaolin Clay,100 ml,36.56,20.34,371,2023-03-27
P0221,Fresh Titanium Treatment,Sierra Skin Co,Sunscreens,Tinted SPF,Dry,Avobenzone,50 ml,31.07,10.68,1179,2024-05-09
P0222,Radiant Vitamin Lotion,DermaBloom,Sunscreens,Daily SPF,All,Avobenzone,100 ml,22.02,9.80,477,2021-03-15
P0223,Hydra Ceramides Essence,Terra Dew,Cleansers,Pore care,Normal,Rice Water,100 ml,14.30,6.47,527,2025-11-07
P0224,Radiant CoQ10 Repair,Coast & Glow,Anti-Aging Products,Firmness,Combination,Peptides,50 ml,134.21,70.54,617,2024-09-19
P0225,Lunar Retinol Repair,Juniper Lab,Eye Creams,Dark circles,All,Vitamin K,20 ml,66.88,31.15,152,2023-10-31
P0226,Renew Bakuchiol Repair,DermaBloom,Anti-Aging Products,Elasticity,Normal,Peptides,30 ml,50.66,24.67,294,2021-09-12
P0227,Glow Green Elixir,Coast & Glow,Cleansers,Pore care,Normal,Rice Water,150 ml,22.63,11.55,2223,2021-04-05
P0228,Dew Green Veil,Sierra Skin Co,Cleansers,Sensitive skin,Normal,Ceramides,100 ml,15.00,5.48,740,2024-08-12
P0229,Hydra Caffeine Lotion,Velvet Aloe,Eye Creams,Dark circles,All,Peptides,15 ml,53.32,21.44,818,2025-06-08
P0230,Dew Alpha Drops,Pacific Ritual,Serums,Hydration,Sensitive,Copper Peptides,30 ml,117.85,55.95,423,2021-12-30
P0231,Radiant Rice Complex,Luma Leaf,Cleansers,Pore care,All,Rice Water,150 ml,29.83,14.67,895,2023-08-01
P0232,Fresh Salicylic Repair,Golden State Skin,Acne Treatments,Blemishes,Normal,Azelaic Acid,15 ml,18.71,7.33,1265,2022-07-12
P0233,Pure Shea Elixir,Sierra Skin Co,Moisturizers,Dehydration,All,Peptides,100 ml,25.30,12.45,2419,2021-02-05
P0234,Lunar Salicylic Veil,DermaBloom,Acne Treatments,Blemishes,Sensitive,Salicylic Acid,50 ml,34.16,14.43,627,2022-06-07
P0235,Clear Honey Shield,DermaBloom,Face Masks,Oil control,All,Enzymes,75 ml,29.50,13.86,457,2024-02-23
P0236,Hydra Ceramides Repair,Juniper Lab,Moisturizers,Barrier repair,Dry,Shea Butter,75 ml,43.07,18.94,589,2025-10-25
P0237,Pure Vitamin Gel,DermaBloom,Eye Creams,Firming,Sensitive,Peptides,30 ml,29.78,15.79,1362,2025-01-07
P0238,Hydra Niacinamide Veil,Velvet Aloe,Serums,Dark spots,Sensitive,Hyaluronic Acid,30 ml,27.96,10.40,89,2021-01-07
P0239,Lunar Squalane Elixir,Velvet Aloe,Moisturizers,Barrier repair,All,Hyaluronic Acid,100 ml,45.74,25.53,712,2024-07-14
P0240,Calm Vitamin Treatment,Sunlit Science,Eye Creams,Dark circles,Dry,Retinol,30 ml,65.53,36.49,391,2022-04-02
P0241,Cloud Titanium Veil,Pure Mesa,Sunscreens,Blue light protection,All,Niacinamide,50 ml,21.12,8.78,961,2024-01-19
P0242,Dew Kaolin Gel,Velvet Aloe,Face Masks,Oil control,Sensitive,Centella,100 ml,44.67,22.77,928,2023-07-26
P0243,Lunar Bakuchiol Lotion,Luma Leaf,Anti-Aging Products,Wrinkles,Dry,Bakuchiol,50 ml,86.25,38.84,948,2022-01-26
P0244,Velvet Titanium Ritual,Pacific Ritual,Sunscreens,UV protection,Combination,Niacinamide,75 ml,33.10,14.52,718,2021-11-27
P0245,Cloud Avobenzone Complex,Luma Leaf,Sunscreens,Blue light protection,Sensitive,Zinc Oxide,75 ml,21.83,7.80,1998,2025-05-29
P0246,Fresh Alpha Veil,Luma Leaf,Serums,Texture,Sensitive,Alpha Arbutin,50 ml,34.02,18.67,559,2021-05-08
P0247,Glow CoQ10 Veil,Golden State Skin,Anti-Aging Products,Firmness,Dry,Growth Factors,50 ml,83.20,31.68,505,2023-07-30
P0248,Velvet Vitamin Elixir,Sunlit Science,Serums,Dullness,All,Copper Peptides,50 ml,108.62,57.73,582,2022-10-05
P0249,Pure Rice Mist,Luma Leaf,Toners,Hydration,Combination,Centella,200 ml,14.81,7.34,125,2025-04-04
P0250,Fresh Niacinamide Shield,Juniper Lab,Serums,Brightening,Normal,Niacinamide,50 ml,49.85,24.44,519,2022-05-18
P0251,Dew Niacinamide Veil,Terra Dew,Sunscreens,UV protection,Normal,Titanium Dioxide,100 ml,23.06,8.73,865,2022-10-20
P0252,Hydra Kaolin Shield,Sunlit Science,Face Masks,Oil control,Combination,Centella,50 ml,33.70,17.42,2223,2022-08-26
P0253,Velvet Hyaluronic Veil,Pacific Ritual,Serums,Dark spots,All,Alpha Arbutin,50 ml,65.46,24.02,2181,2023-10-22
P0254,Pure Hyaluronic Lotion,Golden State Skin,Moisturizers,Dryness,All,Shea Butter,100 ml,24.15,12.09,264,2022-06-21
P0255,Dew Oat Repair,Pacific Ritual,Face Masks,Oil control,Normal,Oat Extract,50 ml,61.37,29.19,294,2021-09-12
P0256,Velvet Copper Shield,Coast & Glow,Serums,Texture,Oily,Hyaluronic Acid,50 ml,52.39,18.79,658,2021-03-19
P0257,Velvet Squalane Complex,DermaBloom,Eye Creams,Fine lines,Combination,Squalane,15 ml,57.66,31.41,222,2022-09-24
P0258,Lunar Squalane Complex,DermaBloom,Moisturizers,Dryness,Sensitive,Squalane,75 ml,35.24,18.53,1842,2021-09-13
P0259,Cloud Centella Repair,Juniper Lab,Face Masks,Detox,Oily,Centella,75 ml,61.50,29.60,936,2022-03-31
P0260,Radiant Vitamin Complex,Juniper Lab,Serums,Dark spots,All,Copper Peptides,30 ml,61.20,25.04,801,2025-02-12
P0261,Calm Shea Drops,Sunlit Science,Moisturizers,Dehydration,Sensitive,Peptides,50 ml,32.88,16.49,367,2022-08-08
P0262,Hydra Peptides Ritual,DermaBloom,Moisturizers,Dehydration,All,Peptides,100 ml,27.12,10.41,298,2022-12-31
P0263,Pure Vitamin Essence,Terra Dew,Eye Creams,Dark circles,Dry,Squalane,15 ml,22.32,12.33,67,2024-02-08
P0264,Pure Oat Veil,DermaBloom,Face Masks,Glow,Sensitive,Oat Extract,100 ml,43.84,19.61,893,2025-06-03
P0265,Renew Copper Lotion,Juniper Lab,Serums,Brightening,Dry,Niacinamide,30 ml,61.37,31.29,527,2022-06-09
P0266,Pure Peptides Treatment,Halo Harbor,Moisturizers,Dryness,Sensitive,Hyaluronic Acid,75 ml,35.38,16.80,103,2023-05-09
P0267,Fresh Rose Repair,Terra Dew,Toners,Balancing,Oily,Witch Hazel,150 ml,14.86,6.98,2448,2023-10-14
P0268,Cloud Tea Essence,Sunlit Science,Acne Treatments,Blemishes,Oily,Azelaic Acid,30 ml,14.25,5.05,753,2022-05-31
P0269,Glow Alpha Elixir,Sunlit Science,Serums,Dark spots,Dry,Niacinamide,50 ml,50.64,27.66,358,2022-01-10
P0270,Hydra Tea Ritual,Golden State Skin,Acne Treatments,Acne,Sensitive,Salicylic Acid,30 ml,34.52,13.77,145,2024-06-07
P0271,Dew Retinol Shield,Velvet Aloe,Anti-Aging Products,Elasticity,Combination,Growth Factors,50 ml,79.64,41.57,2201,2025-07-10
P0272,Renew Centella Treatment,Velvet Aloe,Toners,Hydration,Normal,Witch Hazel,150 ml,14.05,7.79,2011,2025-07-26
P0273,Pure Hyaluronic Elixir,Coast & Glow,Serums,Dullness,Sensitive,Alpha Arbutin,30 ml,98.94,42.14,310,2021-07-23
P0274,Renew Niacinamide Lotion,Pacific Ritual,Serums,Hydration,Combination,Niacinamide,30 ml,75.03,34.23,2688,2022-02-12
P0275,Cloud Enzymes Shield,Pacific Ritual,Face Masks,Oil control,Oily,Honey,100 ml,45.92,21.17,777,2025-08-26
P0276,Pure Squalane Mist,Pure Mesa,Moisturizers,Dehydration,Oily,Ceramides,75 ml,20.83,8.09,943,2024-02-27
P0277,Hydra Tea Shield,Sierra Skin Co,Acne Treatments,Redness,Normal,Tea Tree,30 ml,54.82,27.06,411,2021-07-22
P0278,Glow Ceramides Shield,Pure Mesa,Moisturizers,Dryness,Sensitive,Peptides,100 ml,38.58,17.33,1564,2023-12-06
P0279,Glow Salicylic Treatment,Terra Dew,Cleansers,Sensitive skin,Dry,Rice Water,100 ml,27.62,10.08,622,2024-05-27
P0280,Cloud Honey Ritual,Pacific Ritual,Face Masks,Detox,Oily,Oat Extract,75 ml,56.87,27.83,801,2025-01-23
P0281,Hydra Honey Mist,Halo Harbor,Face Masks,Hydration,All,Oat Extract,50 ml,28.58,15.71,714,2024-08-02
P0282,Clear Green Complex,Juniper Lab,Cleansers,Daily cleansing,Dry,Aloe,100 ml,27.11,10.63,518,2022-09-25
P0283,Renew Ceramides Gel,Pure Mesa,Moisturizers,Redness,Dry,Hyaluronic Acid,100 ml,28.51,10.05,1009,2022-10-06
P0284,Lunar Retinol Shield,Sierra Skin Co,Anti-Aging Products,Wrinkles,Oily,Growth Factors,30 ml,72.21,27.12,945,2021-04-07
P0285,Lunar Growth Ritual,Pacific Ritual,Anti-Aging Products,Elasticity,Combination,Bakuchiol,30 ml,89.12,35.28,726,2021-10-07
P0286,Clear Titanium Gel,Luma Leaf,Sunscreens,Daily SPF,All,Titanium Dioxide,50 ml,27.69,12.59,429,2024-10-08
P0287,Calm PHA Treatment,Velvet Aloe,Toners,Pore care,Oily,Witch Hazel,200 ml,25.27,12.57,737,2022-04-19
P0288,Glow Niacinamide Treatment,Pure Mesa,Sunscreens,Blue light protection,All,Avobenzone,75 ml,43.45,17.92,655,2025-08-18
P0289,Radiant Oat Shield,Velvet Aloe,Face Masks,Hydration,Sensitive,Oat Extract,75 ml,31.33,15.38,347,2023-08-03
P0290,Cloud CoQ10 Shield,Halo Harbor,Anti-Aging Products,Firmness,Normal,CoQ10,50 ml,53.98,26.81,999,2024-06-29
P0291,Lunar Titanium Lotion,Velvet Aloe,Sunscreens,Daily SPF,Combination,Titanium Dioxide,50 ml,30.77,12.43,490,2023-12-15
P0292,Clear Titanium Repair,Golden State Skin,Sunscreens,Blue light protection,Combination,Titanium Dioxide,75 ml,39.74,16.47,913,2021-03-21
P0293,Pure Peptides Mist,Coast & Glow,Eye Creams,Fine lines,All,Squalane,15 ml,75.68,32.81,707,2024-05-19
P0294,Lunar Centella Ritual,Sierra Skin Co,Face Masks,Oil control,Combination,Centella,75 ml,62.63,23.24,524,2022-04-17
P0295,Lunar CoQ10 Repair,Juniper Lab,Anti-Aging Products,Firmness,Oily,Peptides,30 ml,144.75,59.30,608,2024-10-03
P0296,Calm Rice Elixir,Pacific Ritual,Cleansers,Pore care,Combination,Ceramides,100 ml,16.29,7.83,837,2023-05-19
P0297,Clear Tea Shield,Golden State Skin,Acne Treatments,Redness,Combination,Sulfur,50 ml,24.17,9.79,580,2023-10-18
P0298,Hydra Caffeine Veil,Sunlit Science,Eye Creams,Fine lines,All,Squalane,20 ml,58.57,27.02,2267,2024-11-11
P0299,Glow Vitamin Shield,Halo Harbor,Serums,Hydration,Sensitive,Vitamin C,30 ml,100.87,42.61,591,2025-04-24
P0300,Hydra Vitamin Treatment,Sunlit Science,Serums,Texture,Dry,Hyaluronic Acid,30 ml,118.29,65.18,494,2023-06-23
